date,tweet
2021-12-31 02:23:58+00:00, 
2021-12-30 21:11:23+00:00,  7
2021-12-30 20:47:53+00:00, many ui improvements coming
2021-12-30 20:28:51+00:00,    this chart is a big deal
2021-12-30 18:23:14+00:00,  predicting macroeconomics is challenging to say the least my gut feel is maybe around spring or summer 2022 but not later than 2023
2021-12-30 18:15:45+00:00, if history is any guide not many will make it past the next recession
2021-12-30 17:35:45+00:00, 
2021-12-30 08:42:50+00:00, probably not wrong
2021-12-30 07:09:22+00:00, 
2021-12-30 06:27:15+00:00,
2021-12-30 06:18:38+00:00,
2021-12-29 17:21:54+00:00, i do
2021-12-29 16:31:53+00:00,  wow working on this problem has soaked up a lot of my time amp brain cycles over the past 7 years this and starship engines are currently the two hardest problems
2021-12-29 16:22:17+00:00, ashok was the first person recruited from my tweet saying that tesla is starting an autopilot team
2021-12-29 15:54:33+00:00,   yes
2021-12-29 08:38:39+00:00,  700nm to 400nm
2021-12-29 08:36:25+00:00,  faa approval is the schedule driver their latest update says end of february
2021-12-28 21:18:21+00:00,lex asks great questions
2021-12-27 20:16:01+00:00, most people still have no idea that sustainable energy generation is growing so fast
2021-12-27 18:54:35+00:00, 
2021-12-27 11:39:33+00:00," the resolution of the universe is not smaller than planck length
"
2021-12-27 04:23:28+00:00, all of reality can be simulated with ones amp zeroes
2021-12-27 04:12:00+00:00, yeah the smarter someone is the harder it is to simulatepredict their behavior
2021-12-27 04:10:05+00:00, now that the webb telescope has been launched they will have to spend more on rendering haha
2021-12-27 04:08:47+00:00, it is simulations all the way down until you get to one bit
2021-12-27 03:56:00+00:00, people are able to break any laws made by humans but none made by physics
2021-12-27 03:51:33+00:00,physics formulas are the rendering rules
2021-12-27 03:49:50+00:00,so much of ai is about compressing reality to a small vector space like a video game in reverse
2021-12-26 19:41:02+00:00,  useful mass to orbit is what matters
2021-12-26 19:20:21+00:00, 
2021-12-26 19:13:14+00:00,             as goes norway so goes the world that said still a long way to go to replace the fleet of combustion vehicles on the road
2021-12-26 12:11:16+00:00, now 125
2021-12-26 01:05:48+00:00,  congratulations this is major
2021-12-26 01:04:04+00:00, me 
2021-12-25 21:53:31+00:00,floki santa 
2021-12-25 20:17:37+00:00,merry christmas    
2021-12-25 20:07:59+00:00, or tesla
2021-12-24 21:32:25+00:00,"interesting
"
2021-12-24 21:25:23+00:00, its good
